id,outline,director,genre,certificate,representation,year,pkg_name,rating,runtime,date,actor,stars,name
1,Image classification,Education,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:30,Al Pacino,Marlon Brando,PlantVillage
2,Image classification,Education,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:31,Al Pacino,Marlon Brando,PlantVillage
3,Image classification,Education,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:32,Al Pacino,Marlon Brando,PlantVillage
4,Image classification,Education,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:33,Al Pacino,Marlon Brando,PlantVillage
5,Image classification,Education,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:34,Al Pacino,Marlon Brando,PlantVillage
6,Image classification,Education,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:35,Al Pacino,Marlon Brando,PlantVillage
7,Object detection and tracking,Education,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:36,Al Pacino,Marlon Brando,PlantVillage
8,Object detection and tracking,Education,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:37,Al Pacino,Marlon Brando,PlantVillage
9,Object detection and tracking,Education,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:38,Al Pacino,Marlon Brando,PlantVillage
10,Object detection and tracking,Education,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:39,Al Pacino,Marlon Brando,PlantVillage
11,Object detection and tracking,Education,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:40,Al Pacino,Marlon Brando,PlantVillage
12,Object detection and tracking,Education,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:41,Al Pacino,Marlon Brando,PlantVillage
13,Object detection and tracking,Education,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:42,Al Pacino,Marlon Brando,PlantVillage
14,Object detection and tracking,Education,Dynamic,Object marker,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:43,Al Pacino,Marlon Brando,PlantVillage
15,Image classification,Education,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:44,Al Pacino,Marlon Brando,PlantVillage
16,Image classification,Education,Dynamic,Object marker,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/plantV.gif?raw=true,plantvillage.nuru,5,50,1974-04-30T10:29:29+05:45,Al Pacino,Marlon Brando,PlantVillage
17,Text recognition,Tools,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:46,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 6"
18,Text recognition,Tools,Dynamic,Photo editor,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:47,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 7"
19,Text recognition,Tools,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:48,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 8"
20,Text recognition,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:49,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 9"
21,Text recognition,Tools,No Interaction,Importing files,None,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_PDF.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:50,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 10"
22,Text recognition,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_PDF.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:51,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 11"
23,Text recognition,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_TR.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:52,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 12"
24,Text recognition,Tools,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_TR.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:53,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 13"
25,Text recognition,Tools,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_TR.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:54,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 14"
26,Image classification,Tools,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_OD.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:55,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 15"
27,Image classification,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_OD.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:56,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 16"
28,Image classification,Tools,Dynamic,Photo editor,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.aresmob.transmaster_OD.gif?raw=true,com.aresmob.transmaster,5,50,1974-04-30T10:29:29+05:57,Al Pacino,Marlon Brando,"Translator Foto?translate, scan & print photo, pdf 17"
29,Pose detection,Health and Fitness,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:58,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
30,Pose detection,Health and Fitness,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:59,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
31,Pose detection,Health and Fitness,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:60,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
32,Pose detection,Health and Fitness,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:61,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
33,Pose detection,Health and Fitness,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:62,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
34,Pose detection,Health and Fitness,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:63,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
35,Pose detection,Health and Fitness,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:64,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
36,Pose detection,Health and Fitness,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:65,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
37,Pose detection,Health and Fitness,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.familyfit.google.baduanjin.gif?raw=true,com.familyfit.google.baduanjin,5,50,1974-04-30T10:29:29+05:66,Al Pacino,Marlon Brando,Ba Duan Jin - a martial arts guide
38,Audio classification,Education,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:67,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
39,Audio classification,Education,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:68,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
40,Audio classification,Education,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:69,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
41,Audio classification,Education,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:70,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
42,Audio classification,Education,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:71,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
43,Audio classification,Education,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.joytunes.simplypiano.gif?raw=true,com.joytunes.simplypiano,5,50,1974-04-30T10:29:29+05:72,Al Pacino,Marlon Brando,Simply Piano by JoyTunes
44,Image classification,Tools,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:73,Al Pacino,Marlon Brando,네이버-Naver
45,Image classification,Tools,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:74,Al Pacino,Marlon Brando,네이버-Naver
46,Image classification,Tools,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:75,Al Pacino,Marlon Brando,네이버-Naver
47,Image classification,Tools,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:76,Al Pacino,Marlon Brando,네이버-Naver
48,Image classification,Tools,Dynamic,Photo editor,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:77,Al Pacino,Marlon Brando,네이버-Naver
49,Image classification,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:78,Al Pacino,Marlon Brando,네이버-Naver
50,Image classification,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:79,Al Pacino,Marlon Brando,네이버-Naver
51,Image classification,Tools,Static,Camera frame,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:80,Al Pacino,Marlon Brando,네이버-Naver
52,Image classification,Tools,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:81,Al Pacino,Marlon Brando,네이버-Naver
53,Image classification,Tools,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.IC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:82,Al Pacino,Marlon Brando,네이버-Naver
54,Audio classification,Tools,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.AC.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:83,Al Pacino,Marlon Brando,네이버-Naver
55,Text recognition,Tools,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:84,Al Pacino,Marlon Brando,네이버-Naver
56,Text recognition,Tools,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:85,Al Pacino,Marlon Brando,네이버-Naver
57,Text recognition,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:86,Al Pacino,Marlon Brando,네이버-Naver
58,Text recognition,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:87,Al Pacino,Marlon Brando,네이버-Naver
59,Text recognition,Tools,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:88,Al Pacino,Marlon Brando,네이버-Naver
60,Text recognition,Tools,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:89,Al Pacino,Marlon Brando,네이버-Naver
61,Text recognition,Tools,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.TR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:90,Al Pacino,Marlon Brando,네이버-Naver
62,Speech recongnition,Tools,Dynamic,Auditory feedback (Dynamic),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:91,Al Pacino,Marlon Brando,네이버-Naver
63,Speech recongnition,Tools,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:92,Al Pacino,Marlon Brando,네이버-Naver
64,Speech recongnition,Tools,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:93,Al Pacino,Marlon Brando,네이버-Naver
65,Speech recongnition,Tools,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:94,Al Pacino,Marlon Brando,네이버-Naver
66,Speech recongnition,Tools,Static,Auditory feedback (Static),Aural,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:95,Al Pacino,Marlon Brando,네이버-Naver
67,Speech recongnition,Tools,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/com.nhn.android.search.SR.gif?raw=true,com.nhn.android.search,5,50,1974-04-30T10:29:29+05:96,Al Pacino,Marlon Brando,네이버-Naver
68,Face detection,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:97,Al Pacino,Marlon Brando,Fritz AI Studio
69,Face detection,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:98,Al Pacino,Marlon Brando,Fritz AI Studio
70,Face detection,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:99,Al Pacino,Marlon Brando,Fritz AI Studio
71,Face detection,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:100,Al Pacino,Marlon Brando,Fritz AI Studio
72,Face detection,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:101,Al Pacino,Marlon Brando,Fritz AI Studio
73,Face detection,Libraries and Demo,Dynamic,Photo editor,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.FD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:102,Al Pacino,Marlon Brando,Fritz AI Studio
74,Object detection and tracking,Libraries and Demo,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:103,Al Pacino,Marlon Brando,Fritz AI Studio
75,Object detection and tracking,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:104,Al Pacino,Marlon Brando,Fritz AI Studio
76,Object detection and tracking,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:105,Al Pacino,Marlon Brando,Fritz AI Studio
77,Object detection and tracking,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:106,Al Pacino,Marlon Brando,Fritz AI Studio
78,Object detection and tracking,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:107,Al Pacino,Marlon Brando,Fritz AI Studio
79,Object detection and tracking,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:108,Al Pacino,Marlon Brando,Fritz AI Studio
80,Object detection and tracking,Libraries and Demo,Dynamic,Text suggestion,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.OD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:109,Al Pacino,Marlon Brando,Fritz AI Studio
81,Pose detection,Libraries and Demo,Dynamic,Auto focusing object,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:110,Al Pacino,Marlon Brando,Fritz AI Studio
82,Pose detection,Libraries and Demo,Static,Pop-up messages,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:111,Al Pacino,Marlon Brando,Fritz AI Studio
83,Pose detection,Libraries and Demo,Static,Instruction,Text,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:112,Al Pacino,Marlon Brando,Fritz AI Studio
84,Pose detection,Libraries and Demo,Static,Illustration of correct input,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:113,Al Pacino,Marlon Brando,Fritz AI Studio
85,Pose detection,Libraries and Demo,Static,Vibration,Haptic,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:114,Al Pacino,Marlon Brando,Fritz AI Studio
86,Pose detection,Libraries and Demo,Dynamic,Camera adjustment,Visual,https://github.com/jasonxsiu/GalleryImages/blob/main/Gif/ai.fritz.heartbeat.PD.gif?raw=true,ai.fritz.heartbeat,5,50,1974-04-30T10:29:29+05:115,Al Pacino,Marlon Brando,Fritz AI Studio
